CODIGO;NOMBRE;TIPO;ESTADO
21051005;BANCO BOGOTA;M;A
22;PROVEEDORES;T;A
2205;NACIONALES;T;A
220505;PROVEEDORES NACIONALES;M;A
23;CUENTAS POR PAGAR;T;A
2305;CUENTAS CORRIENTES CIALES;T;A
2335;COSTOS Y GASTOS X PAGAR;T;A
233525;HONORARIOS;M;A
233540;ARRENDAMIENTOS;M;A
233595;OTROS;T;A
2355;DEUDAS CON ACCION.O SOCIO;M;A
235510;SOCIOS;T;A
235515;INCREMENTO DE APORTES;M;A
2360;PARTICIP.DECRET.X PAGAR;T;A
236010;A SOCIOS;M;A
2365;RETENCION EN LA FUENTE;T;A
236515;HONORARIOS;M;A
236525;SERVICIOS;M;A
23652501;SERVICIOS 6%;M;A
23652502;SERVICIOS 4%;M;A
23652503;SERVICIOS 1%;M;A
236530;ARRENDAMIENTOS DE INMUEBL;M;A
236540;COMPRAS;M;A
236590;REINTEGROS POR PAGAR-DIAN;M;A
2367;IVA RETENIDO;T;A
236701;IVA RETENIDO REG. SIMPLIF;M;A
2368;IMP DE IND Y COM RETENIDO;T;A
236801;RTE ICA REG. SIMPLIFICADO;M;A
2370;RETENC. Y APORTES NOMINA;T;A
237005;APORTES A E.P.S.;M;A
237006;APORTES A.R.P.;M;A
237010;APORTES AL ICBF SENA CAJA;M;A
2380;ACREEDORES VARIOS;T;A
238030;FDO DE PENSIONES Y CESANT;M;A
24;IMPUESTOS GRAVAM. Y TASAS;T;A
2404;RENTA Y COMPLEMENTARIOS;T;A
240405;VIGENCIA FISCAL CORRIENTE;M;A
240410;VIGENCIA FISCAL ANTERIOR;M;A
2408;IVA POR PAGAR;T;A
240805;IVA FACTURADO EN VENTAS;M;A
240810;IVA DESCONT. COMPRAS;M;A
240812;IVA. DEV. EN VENTAS;M;A
240813;IVA DESC. GTOS. Y SERV.;M;A
240820;IVA DE REG SIMPLIFICADO;T;A
240820;IVA RETEN. REG. SIMPLIFIC;T;A
240890;IVA REINTEGRADO A DIAN;T;A
2412;IMP. INDUSTRIA Y COMERCIO;T;A
241205;VIGENCIA FISCAL CORRIENTE;T;A
25;OBLIGACIONES LABORALES;T;A
2505;SALARIOS POR PAGAR;T;A
250501;NOMINA POR PAGAR;M;A
2510;CESANTIAS CONSOLIDADAS;T;A
251010;CESANTIAS POR PAGAR;M;A
2515;INTERESES SOBRE CESANTIAS;T;A
251505;INT.SOBRE CESANTIAS X PAG;M;A
2520;PRIMA DE SERVICIOS;T;A
252005;PRIMA DE SERVIC. X PAGAR;M;A
2525;VACACIONES;T;A
252505;VACACIONES POR PAGAR;M;A
2540;INDEMNIZACIONES LABORALES;T;A
254001;INCAPACIDADES;M;A
26;PASIVOS EST. Y PROVISION.;T;A
2610;PARA OBLIGACIONES LABORAL;T;A
261005;CESANTIAS;M;A
261010;INT SOBRE CESANTIAS;M;A
261015;VACACIONES;M;A
261020;PRIMA DE SERVICIOS;M;A
2615;PARA OBLIGACIONES FISCAL.;T;A
261505;DE RENTA Y COMPLEMENTARIO;M;A
261510;DE INDUSTRIA Y COMERCIO;M;A
28;OTROS PASIVOS;T;A
2805;ANTIC.Y AVANC.RECIBIDOS;T;A
280505;CLIENTES;M;A
3;PATRIMONIO;T;A
31;CAPITAL SOCIAL;T;A
3105;CAPITAL SUSCRITO Y PAGADO;T;A
310505;CAPITAL AUTORIZADO;M;A
310510;CAPITAL POR SUSCRIBIR;M;A
310515;CAPITAL SUSCR. POR COBRAR;M;A
33;RESERVAS;T;A
3305;RESERVAS OBLIGATORIAS;T;A
330505;RESERVA LEGAL;M;A
3315;RESERVAS OCACIONALES;T;A
331520;ADQUISICION Y REPOSICION;M;A
34;REVALORIZACION DE PATRIM.;T;A
3405;AJUSTES POR INFLACION;T;A
340505;DE CAPITAL SOCIAL;M;A
340510;DE SUPERAVIT DE CAPITAL;M;A
340515;DE RESERVAS;M;A
340520;DE RESULTADOS DE EJERC AN;M;A
3415;AJUSTES POR INFLACION;T;A
341505;AJUSTES X INF. PATRIMONIO;M;A
35;DIVIDENDOS DECRETADOS;T;A
3505;DIVIDENDOS DECRETADOS;T;A
350505;DIVIDENDOS DECRET. ACUMUL;M;A
36;RESULTADOS DEL EJERCICIO;T;A
3605;UTILIDAD DEL EJERCICIO;T;A
360505;UTILIDAD DEL EJERCICIO;M;A
37;RESULTADOS EJ. ANTERIORES;T;A
3705;UTILIDADES ACUMULADAS;T;A
370505;UTILIDADES ACUMULADAS;M;A
3710;PERDIDAS ACUMULADAS;T;A
371005;EJERCICIO ANTERIOR;M;A
4;INGRESOS;T;A
41;OPERACIONALES;T;A
4170;ACTIVIDADES DE SERVICIO;T;A
417080;CUOTAS DE ADMINISTRACION;M;A
417090;OTRAS EXPENSAS;M;A
417095;ACTIVIDADES CONEXAS;M;A
42;NO OPERACIONALES;T;A
4210;FINANCIEROS;T;A
421005;INTERESES;M;A
4250;RECUPERACIONES;T;A
425040;INCAPACIDADES;M;A
4255;INDEMNIZACIONES;T;A
425530;POR INCUMPLIMIENT.CONTRAT;M;A
425540;POR INCAPACIDADES ARL;M;A
4295;DIVERSOS;T;A
429505;APROVECHAMIENTOS;M;A
47;AJUSTES POR INFLACION.;T;A
4705;CORRECCION MONETARIA;T;A
470505;INVERSIONES;M;A
470510;INVENTARIOS;M;A
470515;PROPIEDAD PLANTA Y EQUIPO;M;A
470530;OTROS ACTIVOS;M;A
470540;PATRIMONIO;M;A
470545;DEPRECIACION ACUMULADA;M;A
470565;INGRESOS OPERACIONALES;M;A
470568;DEVOLUCIONES EN VENTAS;M;A
470570;INGRESOS NO OPERACIONALES;M;A
470575;GTOS OPERAC. DE ADMON;M;A
470585;GTOS NO OPERACIONALES;M;A
5;GASTOS;T;A
51;OPERACIONALES DE ADMON.;T;A
5105;GASTOS DE PERSONAL;T;A
510506;SUELDOS;M;A
510518;COMISIONES;M;A
510527;AUXILIO DE TRANSPORTE;M;A
510530;CESANTIAS;M;A
510533;INTERESES SOBRE CESANTIAS;M;A
510536;PRIMA DE SERVICIOS;M;A
510539;VACACIONES;M;A
510545;AUXILIOS;M;A
510548;BONIFICACION OCACIONAL;M;A
510551;DOTACION A TRABAJADORES;M;A
510568;RIESGOS PROFESIONALES;M;A
510569;APORTES A E.P.S.;M;A
510570;APORTES A FONDOS DE PENS.;M;A
510571;APORTES A RIESGOS PROFES.;M;A
510572;APORTES CAJA DE COMPENSA.;M;A
510575;APORTES ICBF;M;A
510578;APORTES SENA;M;A
510584;GASTOS MEDICOS Y DROGAS;M;A
510595;OTROS;M;A
510599;AJ X INF GTOS DE PERSONAL;M;A
5110;HONORARIOS;T;A
511030;ASESORIA FINANCIERA;M;A
5115;IMPUESTOS;T;A
511505;INDUSTRIA Y COMERCIO;M;A
511595;OTROS;M;A
511599;AJ X INF IMPUESTOS;M;A
5120;ARRENDAMIENTOS;T;A
512010;CONSTRUCC Y EDIFICACIONES;M;A
512099;AJ X INF ARRENDAMIENTOS;M;A
5125;CONTRIBUCIONES Y AFILIACI;T;A
512505;CONTRIBUCIONES;T;A
512510;AFILIACIONES Y SOSTENIMIE;M;A
512599;AJUSTES POR INFLACION;M;A
5135;SERVICIOS;T;A
513505;ASEO Y VIGILANCIA;M;A
513515;ASISTENCIA TECNICA;M;A
513520;PROC.ELECTRONICO DE DATOS;M;A
513525;ACUEDUCTO Y ALCANTARILLAD;M;A
513530;ENERGIA ELECTRICA;M;A
513535;TELEFONO;M;A
513540;CORREO PORTES Y TELEGRAMA;M;A
513545;FAX Y TELEX;M;A
513550;TRANSPORTE Y ACARREO;M;A
513595;OTROS SERVICIOS;M;A
513599;AJ X INF SERVICIOS;M;A
5140;GASTOS LEGALES;T;A
514005;NOTARIALES;M;A
514010;REGISTRO MERCANTIL;M;A
514015;TRAMITES Y LICENCIAS;M;A
514095;OTROS;M;A
514099;AJ X INF GASTOS LEGALES;M;A
5145;MANTENIMIENTO Y REPARACIO;T;A
514510;CONSTRUCCIONES Y EDIFICAC;M;A
514515;MMTO MAQUINARIA Y EQUIPO;M;A
514520;EQUIPO DE OFICINA;M;A
514525;EQUIPO DE COMPUTACION;M;A
514540;EQUIPO DE TRANSPORTE;M;A
514599;AJ INF MMTO Y REPARACION;M;A
5150;ADECUACION E INSTALACION;T;A
515005;INSTALACIONES ELECTRICAS;M;A
515015;REPARACIONES LOCATIVAS;M;A
515095;OTROS;M;A
515099;AJ INF REPARACIONES;M;A
5160;DEPRECIACIONES;T;A
516010;DEP. MAQUINARIA Y EQUIPO;M;A
516015;DEP. EQUIPO DE OFICINA;M;A
516020;DEP. EQUIPO DE COMPUTO;M;A
516099;AJ INF DEPRECIACIONES;M;A
5195;DIVERSOS;T;A
519520;RR.PP.-GASTOS DE REPRESEN;M;A
519525;ELEMENTOS DE ASEO Y CAFET;M;A
519530;UTILES.PAPELERIA Y FOTOC.;M;A
519545;TAXIS Y BUSES;M;A
519560;CASINO Y RESTAURANTE;M;A
519595;OTROS GASTOS DIVERSOS;M;A
519599;AJ INF GASTOS DIVERSOS;M;A
53;NO OPERACIONALES;T;A
5305;FINANCIEROS;T;A
530505;GASTOS BANCARIOS;M;A
530515;INTERESES;M;A
530535;DESCUENT COMERC CONDICION;M;A
530599;AJ INF GASTOS FINANCIEROS;M;A
5310;PERD.EN VENTA Y RET.BIENE;T;A
531095;OTROS;M;A
5315;GASTOS EXTRAORDINARIOS;T;A
531520;IMPUESTOS ASUMIDOS;M;A
5395;DIVERSOS;T;A
539520;MULTAS;M;A
539525;DONACIONES;M;A
539530;DEGUSTACIONES;M;A
539535;PERDIDAS Y DESPERDICIOS;M;A
539595;OTROS;M;A
539599;AJ INF GASTOS DIVERSOS;M;A
54;IMP. DE RENTA Y COMPLEMEN;T;A
5405;IMP. DE RENTA Y COMPLEMEN;T;A
540505;IMP. DE RENTA Y COMPLEMEN;M;A
540510;RESERVA LEGAL;M;A
59;GANANCIAS Y PERDIDAS;T;A
5905;GANANCIAS Y PERDIDAS;T;A
590505;GANANCIAS Y PERDIDAS;M;A
